siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_10...15,areaCoverage_10...16,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_10...25,areaCoverage_10...26,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
IHR8,93.2446,NA,NA,TRR2,92.7565,NA,NA,TRR2,92.7565,NA,NA,IHR20,93.2446,NA,NA,KLM23,92.5954,TRR2,92.7565,NA,NA,CAC2,93.3035,NA,NA,TRR3,92.7565,NA,NA,TRR2,92.7565,NA,NA,IHR8,93.2446
TRR3,86.0011,NA,NA,WKY2,86.1085,NA,NA,MIY2,86.1533,NA,NA,KLM25,85.84,NA,NA,MIY1,85.9922,MIY2,86.1533,NA,NA,KLM25,85.899,NA,NA,WKY3,86.1085,NA,NA,WKY2,86.1085,NA,NA,LCC1,86.8582
LMC22,80.4735,NA,NA,MED1,80.7732,NA,NA,ASK4,80.8407,NA,NA,WKY2,79.5606,NA,NA,FEV11,81.1271,MED1,80.9636,NA,NA,NFE3,80.2482,NA,NA,CAC1,79.4928,NA,NA,ASK5,80.796,NA,NA,WKY1,81.7953
WKY1,74.9611,NA,NA,ICS24,76.008,NA,NA,LMC22,75.3131,NA,NA,LMC17,74.8,NA,NA,ASK5,76.3719,LMC22,75.436,NA,NA,LMC17,74.7206,NA,NA,IM10,74.723,NA,NA,IHR20,74.4092,NA,NA,IM6,77.0254
ASK6,69.6485,NA,NA,ASK5,70.6954,NA,NA,TBR2,70.6064,NA,NA,IM10,70.0302,NA,NA,MED1,71.1822,ASK4,70.1234,NA,NA,SCS2,69.9908,NA,NA,SCS2,69.9932,NA,NA,IM10,69.6394,NA,NA,LMC12,72.2648
SCS2,64.9188,NA,NA,LMC12,65.9347,NA,NA,FHS1,66.082,NA,NA,SCS2,65.3004,NA,NA,EAF3,66.5639,FGP1,65.7092,NA,NA,ASK6,65.2357,NA,NA,LMC22,65.2326,NA,NA,SCS1,64.9096,NA,NA,SCS2,67.535
IM10,60.1489,NA,NA,SCS2,61.7528,NA,NA,CDR4,61.7566,NA,NA,FRC2,61.3349,NA,NA,WTB18,62.2657,IM10,60.9394,NA,NA,SWC18,60.8736,NA,NA,ASK5,59.92,NA,NA,LMC17,60.1489,NA,NA,ASK6,62.5815
FRC3,56.1834,NA,NA,FRC2,57.7874,NA,NA,SWC24,57.8014,NA,NA,HOC26,57.5007,NA,NA,FRC1,58.3002,FRC1,56.9739,NA,NA,FRC1,56.9081,NA,NA,FRC1,55.9545,NA,NA,SWC18,56.2832,NA,NA,FRC2,58.616
SWC24,52.3177,NA,NA,NOF1,53.6334,NA,NA,HAM6,54.074,NA,NA,ASK4,52.7455,NA,NA,WKY1,54.4314,HAM6,53.2465,NA,NA,ICS24,52.627,NA,NA,SWC17,52.0888,NA,NA,HAM6,52.5558,NA,NA,SWC18,54.7504
LOR29,48.4846,NA,NA,SWC17,49.7554,NA,NA,TAR3,50.5093,NA,NA,FGP3,49.297,NA,NA,HAM19,50.704,SWC18,49.3808,NA,NA,HAM102,48.8996,NA,NA,HOC26,48.2546,NA,NA,FRC3,48.5903,NA,NA,BSR26,50.5874
HAM102,44.7572,NA,NA,LOR25,45.9582,NA,NA,SCS1,47.1449,NA,NA,LOR25,45.4638,NA,NA,BCB30,47.4101,LOR25,45.5837,NA,NA,BCB28,45.6057,NA,NA,CAN68,44.8561,NA,NA,BCB30,45.2964,NA,NA,FGP1,47.1389
16_ALP_117_N1,41.8391,NA,NA,HOC17,42.124,NA,NA,BCB21,43.851,NA,NA,SWC18,41.5982,NA,NA,RGR15,44.3796,WKY1,42.4241,NA,NA,TAR3,42.4201,NA,NA,16_MFM_200_N1,41.9364,NA,NA,16_MFM_200_N1,42.3767,NA,NA,HOC17,43.3047
ORO55,38.9643,NA,NA,CDR5,38.8765,NA,NA,SGR4,40.8581,NA,NA,16_KCG_10_N1,38.6912,NA,NA,16_KCG_37_N1,41.4727,16_ALP_117_N1,39.506,NA,NA,16_ALP_110_N1,39.502,NA,NA,CDR4,38.6888,NA,NA,LOR17,39.6397,NA,NA,RGR15,40.059
GEI11,36.4293,NA,NA,16_KCG_61_N1,35.9696,NA,NA,16_MFM_107_N1,37.9383,NA,NA,ORO55,35.8374,NA,NA,HEC22,38.9059,SCS1,36.2897,NA,NA,LOR29,36.765,NA,NA,16_CTA_27_N1,36.1642,NA,NA,FGP1,36.1912,NA,NA,16_MFM_200_N1,37.1393
CLC3,33.6858,NA,NA,GEI12,33.4346,NA,NA,FRC1,34.9775,NA,NA,TSG21,33.3552,NA,NA,PCL20,36.4731,RGR15,33.6969,NA,NA,CDR5,33.5175,NA,NA,RGR15,33.5713,NA,NA,16_CTA_27_N1,33.6665,NA,NA,BCB30,33.8454
13_VFC_4_N2,31.2688,NA,NA,16_CTA_27_N1,30.91,NA,NA,GEI11,32.4425,NA,NA,16_CTA_26_N1,30.8305,NA,NA,LOR17,34.0508,ORO55,30.8431,NA,NA,TSG21,31.0352,NA,NA,13_VFC_4_N2,31.1544,NA,NA,OPB3,31.1433,NA,NA,16_CTA_26_N1,31.3207
TSG24,28.7865,NA,NA,ORO55,28.0352,NA,NA,TSG24,29.9603,NA,NA,SKZ38,28.4593,NA,NA,FGP1,31.677,13_VFC_4_N1,28.4261,NA,NA,RGR15,28.674,NA,NA,STB7,29.0146,NA,NA,TSG24,28.661,NA,NA,PCL20,28.888
16_VAL_13_N1,26.6354,NA,NA,13_VFC_4_N2,25.6182,NA,NA,16_CTA_27_N1,27.4356,NA,NA,GEI11,26.156,NA,NA,M2L4,29.195,PCL20,25.9933,NA,NA,16_CTA_27_N1,26.1493,NA,NA,16_VAL_13_N1,26.9013,NA,NA,13_VFC_4_N1,26.244,NA,NA,13_VFC_1_N1,26.471
16_FPA_22_N1,24.59,NA,NA,16_VAT_3_N1,23.5259,NA,NA,SKZ27,25.1259,NA,NA,16_VAT_3_N1,24.0637,NA,NA,SKZ6,26.8853,16_CTA_27_N1,23.4687,NA,NA,SKZ27,23.8396,NA,NA,16_FPA_26_N1,24.8558,NA,NA,16_VPT_3_N1,24.1824,NA,NA,LOR29,23.734
TAR3,22.6268,NA,NA,PCL20,21.0931,NA,NA,16_VAT_3_N1,23.0336,NA,NA,16_FPA_26_N1,22.0183,NA,NA,16_VPT_4_N1,24.7638,16_VPT_5_N1,21.4071,NA,NA,16_VAT_6_N1,21.7474,NA,NA,TSG25,22.3736,NA,NA,16_FPA_22_N1,22.1369,NA,NA,16_VAT_5_N1,21.6417
MED3,20.549,NA,NA,SGR2,19.1049,NA,NA,16_FPA_26_N1,20.9882,NA,NA,SGR4,20.0706,NA,NA,16_CTA_26_N1,22.2991,16_FPA_44_N1,19.3616,NA,NA,SGR5,19.7591,NA,NA,ORO51,20.4353,NA,NA,TAR3,20.1738,NA,NA,ORO55,19.6954
SGR5,18.4763,NA,NA,16_AKC_14_N1,17.4303,NA,NA,ORO55,19.0209,NA,NA,TAR3,17.8047,NA,NA,16_FPA_22_N1,20.2536,SGR2,17.414,NA,NA,ORO55,17.7918,NA,NA,LCC1,18.5973,NA,NA,ORO55,18.2275,NA,NA,MED3,17.6175
16_CTA_27_N1,15.9894,NA,NA,OSW25,15.860900000000001,NA,NA,LOR29,16.2839,NA,NA,KAP1,16.1099,NA,NA,16_DCR_10_N1,18.5957,LCC2,15.576,NA,NA,16_DCR_9_N1,16.1339,NA,NA,SGR5,16.6091,NA,NA,SGR2,16.2798,NA,NA,16_DCR_10_N1,15.9596
BCB21,14.6991,NA,NA,16_DCR_10_N1,14.203,NA,NA,NFE1,14.8456,NA,NA,WPV2,14.7183,NA,NA,ORO31,16.6494,RFA12,14.1522,NA,NA,MED1,14.6486,NA,NA,KAP1,15.0809,NA,NA,BEL4,14.6917,NA,NA,SGR5,14.012
16_ICY_903_N1,13.4488,NA,NA,LCC2,12.365,NA,NA,NKL15,13.4811,NA,NA,OSW25,13.1489,NA,NA,OSW25,15.131,16_ICY_903_N1,12.9019,NA,NA,OSW13,13.0675,NA,NA,16_ICY_901_N1,13.8306,NA,NA,16_ICY_903_N1,13.4414,NA,NA,16_ICY_903_N1,12.7617
16_DCR_9_N1,11.7909,NA,NA,16_ICY_904_N1,11.1147,NA,NA,RFA12,12.0574,NA,NA,16_DCR_9_N1,11.491,NA,NA,WMO2,13.7449,16_DCR_10_N1,11.244,NA,NA,16_FPA_44_N1,11.0221,NA,NA,BSR21,12.6385,NA,NA,RFA12,12.0177,NA,NA,16_FPA_22_N1,10.7162
RFA12,10.3672,NA,NA,BCB30,9.8244,NA,NA,WPV2,10.6539,NA,NA,16_ICY_904_N1,10.2407,NA,NA,NKL2,12.3803,BCB21,9.9537,NA,NA,16_ICY_903_N1,9.7717,NA,NA,NKL2,11.274,NA,NA,NKL15,10.6532,NA,NA,RFA3,9.597
WPV2,9.2166,NA,NA,AWP26,8.6439,NA,NA,16_PTR_8_N1,9.4278,NA,NA,BCB30,8.9504,NA,NA,LCC2,10.8035,NKL2,8.5892,NA,NA,BSR21,8.542,NA,NA,NFE1,10.241,NA,NA,16_DCR_9_N1,8.9952,NA,NA,16_OSO_2_N1,8.8095
NFE2,8.3458,NA,NA,BSR21,7.4518,NA,NA,13_VFC_2_N1,8.5854,NA,NA,NFE2,8.0796,NA,NA,16_UGC_2_N1,9.6027,WPV2,7.0927,NA,NA,16_OSO_3_N1,7.7529,NA,NA,LOR29,9.2993,NA,NA,NFE2,8.1244,NA,NA,NKL2,7.445
SKZ6,7.6107,NA,NA,NKL2,6.0872,NA,NA,IHR20,7.9236,NA,NA,13_VFC_1_N1,7.2372,NA,NA,BSR132,8.7969,FHS1,6.3027,NA,NA,16_SDP_32_N1,7.1115,NA,NA,RFA12,8.1801,NA,NA,AWP27,7.1202,NA,NA,OSW13,6.7835
16_SDP_6_N1,6.9693,NA,NA,03_V153408_N1,5.4879,NA,NA,OSW25,7.2622,NA,NA,MED1,6.63,NA,NA,16_OSO_3_N1,8,16_OSO_4_N1,5.5135,NA,NA,NKL15,5.7469,NA,NA,SKZ38,7.3835,NA,NA,WPV2,5.9696,NA,NA,SKZ27,5.987
OSW13,6.3078,NA,NA,16_FPA_44_N1,4.6506,NA,NA,16_OSO_4_N1,6.4747,NA,NA,NKL2,5.2655,NA,NA,KAP1,7.1291,SKZ27,4.7784,NA,NA,13_VFC_2_N1,4.9046,NA,NA,16_SDP_6_N1,6.7421,NA,NA,16_OSO_4_N1,5.1821,NA,NA,NFE2,5.252
16_OSO_3_N1,5.5187,NA,NA,NA,NA,NA,NA,16_SDP_6_N1,5.8333,NA,NA,AWP26,4.7742000000000004,NA,NA,16_SDP_24_N1,6.4877,NA,NA,NA,NA,NA,NA,NA,NA,OSW13,6.0807,NA,NA,03_V153408_N2,4.5828,NA,NA,KLM25,4.6138
03_V153408_N2,4.9193,NA,NA,NA,NA,NA,NA,MED3,5.2986,NA,NA,NA,NA,NA,NA,03_V153408_N1,5.8883,NA,NA,NA,NA,NA,NA,NA,NA,16_OSO_2_N1,5.2932,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,THR21,4.801,NA,NA,NA,NA,NA,NA,13_VFC_2_N1,5.046,NA,NA,NA,NA,NA,NA,NA,NA,M2L4,4.9477,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAC2,4.4499,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
