SPEC	FID	GEO	LAT	LON	POPTYPE
labrusca	483130	Massachusettes	42.603327	-71.704358	Germplasm
labrusca	483133	New Hampshire	43.038049	-71.083351	Germplasm
labrusca	483145	Pennsylvania	40.076286	-76.408129	Germplasm
labrusca	483146	Pennsylvania	40.351392	-75.06711	Germplasm
labrusca	483147	Pennsylvania	39.986527	-75.197624	Germplasm
labrusca	483148	Pennsylvania	40.447474	-75.342943	Germplasm
labrusca	483149	Pennsylvania	40.340664	-75.075178	Germplasm
labrusca	483150	New Hampshire	42.874156	-71.406634	Germplasm
labrusca	483151	New Hampshire	42.910502	-71.301577	Germplasm
labrusca	483152	New Hampshire	43.325313	-70.934703	Germplasm
labrusca	483153	New Hampshire	43.325313	-70.934703	Germplasm
labrusca	483154	New Hampshire	43.325313	-70.934703	Germplasm
labrusca	483155	New Hampshire	43.299583	-70.948264	Germplasm
labrusca	483156	New Hampshire	43.114177	-71.144825	Germplasm
labrusca	483157	New Hampshire	42.766801	-71.418832	Germplasm
labrusca	483159	Massachusettes	42.538876	-71.217982	Germplasm
labrusca	483160	Massachusettes	42.538876	-71.217982	Germplasm
labrusca	483161	Massachusettes	42.538876	-71.217982	Germplasm
labrusca	483162	Massachusettes	42.493269	-71.202751	Germplasm
labrusca	483163	New York	42.761922	-74.533089	Germplasm
labrusca	483164	Pennsylvania	40.699165	-76.118074	Germplasm
labrusca	588145	Pennsylvania	40.353971	-75.1433	Germplasm
labrusca	588182	Pennsylvania	40.418827	-75.352771	Germplasm
labrusca	588194	New York	43.06154	-73.91827	Germplasm
labrusca	588307	New Jersey	39.677394	-74.754071	Germplasm
labrusca	014_1	North Carolina	36.2548	-81.45523	Wild
labrusca	014_2	North Carolina	36.2548	-81.45523	Wild
labrusca	014_3	North Carolina	36.2548	-81.45523	Wild
labrusca	018_1	North Carolina	36.28366	-81.37312	Wild
labrusca	021_3	North Carolina	36.30459	-81.36575	Wild
labrusca	021_4	North Carolina	36.30459	-81.36575	Wild
labrusca	021_5	North Carolina	36.30459	-81.36575	Wild
labrusca	023_1	North Carolina	36.37637	-81.32193	Wild
labrusca	023_10	North Carolina	36.37637	-81.32193	Wild
labrusca	023_11	North Carolina	36.37637	-81.32193	Wild
labrusca	023_12	North Carolina	36.37637	-81.32193	Wild
labrusca	023_13	North Carolina	36.37637	-81.32193	Wild
labrusca	023_5	North Carolina	36.37637	-81.32193	Wild
labrusca	023_6	North Carolina	36.37637	-81.32193	Wild
labrusca	023_8	North Carolina	36.37637	-81.32193	Wild
labrusca	026_1	North Carolina	36.36893	-81.30058	Wild
labrusca	026_10	North Carolina	36.36893	-81.30058	Wild
labrusca	026_11	North Carolina	36.36893	-81.30058	Wild
labrusca	026_13	North Carolina	36.36893	-81.30058	Wild
labrusca	026_14	North Carolina	36.36893	-81.30058	Wild
labrusca	026_6	North Carolina	36.36893	-81.30058	Wild
labrusca	026_7	North Carolina	36.36893	-81.30058	Wild
labrusca	026_8	North Carolina	36.36893	-81.30058	Wild
labrusca	026_9	North Carolina	36.36893	-81.30058	Wild
labrusca	027_1	North Carolina	36.3695	-81.28898	Wild
labrusca	027_2	North Carolina	36.3695	-81.28898	Wild
labrusca	027_3	North Carolina	36.3695	-81.28898	Wild
labrusca	027_4	North Carolina	36.3695	-81.28898	Wild
labrusca	027_5	North Carolina	36.3695	-81.28898	Wild
labrusca	028_10	North Carolina	36.38859	-81.26196	Wild
labrusca	028_11	North Carolina	36.38859	-81.26196	Wild
labrusca	028_4	North Carolina	36.38859	-81.26196	Wild
labrusca	028_5	North Carolina	36.38859	-81.26196	Wild
labrusca	028_6	North Carolina	36.38859	-81.26196	Wild
labrusca	028_7	North Carolina	36.38859	-81.26196	Wild
labrusca	028_8	North Carolina	36.38859	-81.26196	Wild
labrusca	029_3	North Carolina	36.38807	-81.25607	Wild
labrusca	029_4	North Carolina	36.38807	-81.25607	Wild
labrusca	029_5	North Carolina	36.38807	-81.25607	Wild
labrusca	030_1	North Carolina	36.39142	-81.25607	Wild
labrusca	030_2	North Carolina	36.39142	-81.25607	Wild
labrusca	030_3	North Carolina	36.39142	-81.25607	Wild
labrusca	030_4	North Carolina	36.39142	-81.25607	Wild
labrusca	030_5	North Carolina	36.39142	-81.25607	Wild
labrusca	031_2	North Carolina	36.48546	-81.14227	Wild
labrusca	032_2	Virginia	36.64099	-80.99387	Wild
labrusca	034_1	Virginia	36.70895	-80.44406	Wild
labrusca	034_2	Virginia	36.70895	-80.44406	Wild
labrusca	034_3	Virginia	36.70895	-80.44406	Wild
labrusca	034_4	Virginia	36.70895	-80.44406	Wild
labrusca	035_2	Virginia	36.72655	-80.41307	Wild
labrusca	035_3	Virginia	36.72655	-80.41307	Wild
labrusca	035_4	Virginia	36.72655	-80.41307	Wild
labrusca	035_6	Virginia	36.72655	-80.41307	Wild
labrusca	035_8	Virginia	36.72655	-80.41307	Wild
labrusca	035_9	Virginia	36.72655	-80.41307	Wild
labrusca	037_10	Virginia	36.76566	-80.40595	Wild
labrusca	037_11	Virginia	36.76566	-80.40595	Wild
labrusca	037_6	Virginia	36.76566	-80.40595	Wild
labrusca	037_7	Virginia	36.76566	-80.40595	Wild
labrusca	037_8	Virginia	36.76566	-80.40595	Wild
labrusca	037_9	Virginia	36.76566	-80.40595	Wild
labrusca	038_1	Virginia	36.7793	-80.39888	Wild
labrusca	038_10	Virginia	36.7793	-80.39888	Wild
labrusca	038_11	Virginia	36.7793	-80.39888	Wild
labrusca	038_12	Virginia	36.7793	-80.39888	Wild
labrusca	038_13	Virginia	36.7793	-80.39888	Wild
labrusca	038_14	Virginia	36.7793	-80.39888	Wild
labrusca	038_15	Virginia	36.7793	-80.39888	Wild
labrusca	038_16	Virginia	36.7793	-80.39888	Wild
labrusca	038_9	Virginia	36.7793	-80.39888	Wild
labrusca	039_1	Virginia	36.7793	-80.39888	Wild
labrusca	039_3	Virginia	36.7793	-80.39888	Wild
labrusca	040_1	Virginia	36.78126	-80.39236	Wild
labrusca	040_2	Virginia	36.78126	-80.39236	Wild
labrusca	040_3	Virginia	36.78126	-80.39236	Wild
labrusca	042_1	Virginia	36.7951	-80.38786	Wild
labrusca	042_6	Virginia	36.7951	-80.38786	Wild
labrusca	044_2	Virginia	36.86941	-80.28395	Wild
labrusca	044_6	Virginia	36.86941	-80.28395	Wild
labrusca	044_8	Virginia	36.86941	-80.28395	Wild
labrusca	044_9	Virginia	36.86941	-80.28395	Wild
labrusca	045_1	Virginia	36.89088	-80.26234	Wild
labrusca	045_2	Virginia	36.89088	-80.26234	Wild
labrusca	045_3	Virginia	36.89088	-80.26234	Wild
labrusca	045_4	Virginia	36.89088	-80.26234	Wild
labrusca	045_5	Virginia	36.89088	-80.26234	Wild
labrusca	046_1	Virginia	36.89088	-80.26234	Wild
labrusca	046_2	Virginia	36.89088	-80.26234	Wild
labrusca	046_3	Virginia	36.89088	-80.26234	Wild
labrusca	046_4	Virginia	36.89088	-80.26234	Wild
labrusca	046_5	Virginia	36.89088	-80.26234	Wild
labrusca	048_1	Virginia	36.96293	-80.16109	Wild
labrusca	048_2	Virginia	36.96293	-80.16109	Wild
labrusca	048_3	Virginia	36.96293	-80.16109	Wild
labrusca	049_2	Virginia	36.96293	-80.16109	Wild
labrusca	050_10	Virginia	37.02032	-80.11743	Wild
labrusca	050_11	Virginia	37.02032	-80.11743	Wild
labrusca	050_4	Virginia	37.02032	-80.11743	Wild
labrusca	050_6	Virginia	37.02032	-80.11743	Wild
labrusca	050_8	Virginia	37.02032	-80.11743	Wild
labrusca	054_1	Virginia	38.09481	-78.34252	Wild
labrusca	054_2	Virginia	38.09481	-78.34252	Wild
labrusca	054_3	Virginia	38.09481	-78.34252	Wild
labrusca	058_2	Pennsylvania	39.7977	-76.47601	Wild
labrusca	058_3	Pennsylvania	39.7977	-76.47601	Wild
labrusca	058_4	Pennsylvania	39.7977	-76.47601	Wild
labrusca	071_1	New York	41.4458	-73.75545	Wild
labrusca	078_1	Connecticut	41.65871	-73.3188	Wild
labrusca	078_2	Connecticut	41.65871	-73.3188	Wild
labrusca	078_4	Connecticut	41.65871	-73.3188	Wild
labrusca	079_1	Connecticut	41.6075	-73.28672	Wild
labrusca	079_2	Connecticut	41.6075	-73.28672	Wild
labrusca	079_3	Connecticut	41.6075	-73.28672	Wild
labrusca	079_4	Connecticut	41.6075	-73.28672	Wild
labrusca	079_5	Connecticut	41.6075	-73.28672	Wild
labrusca	080_1	Connecticut	41.59968	-73.27788	Wild
labrusca	080_2	Connecticut	41.59968	-73.27788	Wild
labrusca	080_3	Connecticut	41.59968	-73.27788	Wild
labrusca	081_1	Connecticut	41.5989	-73.27393	Wild
labrusca	081_3	Connecticut	41.5989	-73.27393	Wild
labrusca	083_1	Connecticut	41.45561	-72.98817	Wild
labrusca	083_2	Connecticut	41.45561	-72.98817	Wild
labrusca	083_3	Connecticut	41.45561	-72.98817	Wild
labrusca	087_1	Connecticut	41.43505	-72.21359	Wild
labrusca	087_2	Connecticut	41.43505	-72.21359	Wild
labrusca	087_3	Connecticut	41.43505	-72.21359	Wild
labrusca	087_5	Connecticut	41.43505	-72.21359	Wild
labrusca	087_6	Connecticut	41.43505	-72.21359	Wild
labrusca	094_1	Connecticut	41.68021	-71.85046	Wild
labrusca	094_2	Connecticut	41.68021	-71.85046	Wild
labrusca	094_3	Connecticut	41.68021	-71.85046	Wild
labrusca	094_4	Connecticut	41.68021	-71.85046	Wild
labrusca	094_5	Connecticut	41.68021	-71.85046	Wild
labrusca	095_1	Connecticut	41.71432	-71.97076	Wild
labrusca	095_2	Connecticut	41.71432	-71.97076	Wild
labrusca	095_3	Connecticut	41.71432	-71.97076	Wild
labrusca	095_4	Connecticut	41.71432	-71.97076	Wild
labrusca	096_1	Connecticut	41.71432	-71.97076	Wild
labrusca	096_2	Connecticut	41.71432	-71.97076	Wild
labrusca	096_3	Connecticut	41.71432	-71.97076	Wild
labrusca	096_4	Connecticut	41.71432	-71.97076	Wild
labrusca	096_5	Connecticut	41.71432	-71.97076	Wild
labrusca	098_1	Connecticut	41.85424	-71.95901	Wild
labrusca	098_3	Connecticut	41.85424	-71.95901	Wild
labrusca	098_4	Connecticut	41.85424	-71.95901	Wild
labrusca	098_5	Connecticut	41.85424	-71.95901	Wild
labrusca	099_1	Connecticut	41.9233	-71.95676	Wild
labrusca	099_4	Connecticut	41.9233	-71.95676	Wild
labrusca	099_5	Connecticut	41.9233	-71.95676	Wild
labrusca	101_2	Connecticut	42.00775	-72.0016	Wild
labrusca	101_3	Connecticut	42.00775	-72.0016	Wild
labrusca	102_10	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_11	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_12	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_3	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_4	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_8	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_9	Massachusetts	42.43742	-72.09459	Wild
labrusca	103_1	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_2	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_3	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_4	Massachusetts	42.45481	-72.09194	Wild
labrusca	104_2	Massachusetts	42.54595	-72.07526	Wild
labrusca	104_4	Massachusetts	42.54595	-72.07526	Wild
labrusca	104_5	Massachusetts	42.54595	-72.07526	Wild
labrusca	105_1	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_2	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_4	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_5	Massachusetts	42.5611	-72.04062	Wild
labrusca	106_1	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_2	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_3	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_4	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_5	Massachusetts	42.62283	-71.92645	Wild
labrusca	107_1	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_2	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_4	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_5	Massachusetts	42.70262	-71.78799	Wild
labrusca	108_10	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_2	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_3	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_4	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_5	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_6	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_7	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_8	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_9	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_1	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_2	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_3	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_4	New Hampshire	42.87887	-71.61115	Wild
labrusca	110_2	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_3	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_4	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_5	New Hampshire	43.08684	-71.27523	Wild
labrusca	111_5	New Hampshire	43.10802	-71.24146	Wild
labrusca	112_1	Maine	43.45983	-70.76898	Wild
labrusca	112_2	Maine	43.45983	-70.76898	Wild
labrusca	112_3	Maine	43.45983	-70.76898	Wild
labrusca	112_4	Maine	43.45983	-70.76898	Wild
labrusca	112_5	Maine	43.45983	-70.76898	Wild
labrusca	113_1	Maine	43.72995	-70.8378	Wild
labrusca	113_10	Maine	43.72995	-70.8378	Wild
labrusca	113_2	Maine	43.72995	-70.8378	Wild
labrusca	113_3	Maine	43.72995	-70.8378	Wild
labrusca	113_4	Maine	43.72995	-70.8378	Wild
labrusca	113_6	Maine	43.72995	-70.8378	Wild
labrusca	113_8	Maine	43.72995	-70.8378	Wild
labrusca	113_9	Maine	43.72995	-70.8378	Wild
labrusca	114_1	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_2	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_3	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_4	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_5	New Hampshire	43.79543	-70.99704	Wild
labrusca	115_1	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_2	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_3	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_4	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_5	New Hampshire	43.82967	-70.28747	Wild
